Season,posteam,RZAtt,RZTD,RZPct,,,,
2023,Dallas Cowboys,71,40,56.30%,,,,
2023,Buffalo Bills,65,41,63.10%,,,,
2023,Philadelphia Eagles,60,36,60.00%,,,,
2023,Green Bay Packers,64,33,51.60%,,,,
2023,Chicago Bears,49,28,57.10%,,,,
2023,Tampa Bay Buccaneers,49,22,44.90%,,,,
2023,Kansas City Chiefs,61,33,54.10%,,,,
2023,Los Angeles Rams,55,35,63.60%,,,,
2023,Detroit Lions,64,41,64.10%,,,,
2023,Los Angeles Chargers,47,27,57.40%,,,,
2023,New Orleans Saints,60,32,53.30%,,,,
2023,Atlanta Falcons,47,22,46.80%,,,,
2023,Arizona Cardinals,44,27,61.40%,,,,
2023,Houston Texans,53,29,54.70%,,,,
2023,Baltimore Ravens,68,42,61.80%,,,,
2023,Jacksonville Jaguars,52,26,50.00%,,,,
2023,San Francisco 49ers,67,45,67.20%,,,,
2023,Pittsburgh Steelers,42,20,47.60%,,,,
2023,Minnesota Vikings,51,24,47.10%,,,,
2023,Miami Dolphins,58,38,65.50%,,,,
2023,Carolina Panthers,36,18,50.00%,,,,
2023,Indianapolis Colts,57,28,49.10%,,,,
2023,Cincinnati Bengals,52,31,59.60%,,,,
2023,Denver Broncos,58,30,51.70%,,,,
2023,Cleveland Browns,50,28,56.00%,,,,
2023,Las Vegas Raiders,47,23,48.90%,,,,
2023,Washington Commanders,49,31,63.30%,,,,
2023,New York Giants,43,19,44.20%,,,,
2023,Seattle Seahawks,54,26,48.10%,,,,
2023,Tennessee Titans,48,23,47.90%,,,,
2023,New England Patriots,36,21,58.30%,,,,
2023,New York Jets,37,12,32.40%,,,,
2022,Los Angeles Chargers,62,33,53.20%,,,,
2022,Pittsburgh Steelers,52,27,51.90%,,,,
2022,Dallas Cowboys,56,40,71.40%,,,,
2022,Philadelphia Eagles,59,40,67.80%,,,,
2022,Buffalo Bills,58,35,60.30%,,,,
2022,San Francisco 49ers,63,34,54.00%,,,,
2022,Cincinnati Bengals,57,37,64.90%,,,,
2022,Kansas City Chiefs,72,50,69.40%,,,,
2022,Minnesota Vikings,64,40,62.50%,,,,
2022,Tampa Bay Buccaneers,50,26,52.00%,,,,
2022,Baltimore Ravens,59,27,45.80%,,,,
2022,Chicago Bears,50,28,56.00%,,,,
2022,Jacksonville Jaguars,58,31,53.40%,,,,
2022,New Orleans Saints,48,25,52.10%,,,,
2022,Cleveland Browns,56,30,53.60%,,,,
2022,Detroit Lions,68,45,66.20%,,,,
2022,New York Jets,46,20,43.50%,,,,
2022,Los Angeles Rams,45,25,55.60%,,,,
2022,Las Vegas Raiders,48,23,47.90%,,,,
2022,Atlanta Falcons,54,30,55.60%,,,,
2022,Arizona Cardinals,44,25,56.80%,,,,
2022,Washington Commanders,47,24,51.10%,,,,
2022,Tennessee Titans,42,27,64.30%,,,,
2022,Green Bay Packers,54,28,51.90%,,,,
2022,New York Giants,49,31,63.30%,,,,
2022,Seattle Seahawks,55,26,47.30%,,,,
2022,Indianapolis Colts,48,22,45.80%,,,,
2022,New England Patriots,45,19,42.20%,,,,
2022,Miami Dolphins,50,30,60.00%,,,,
2022,Denver Broncos,36,20,55.60%,,,,
2022,Houston Texans,48,23,47.90%,,,,
2022,Carolina Panthers,46,26,56.50%,,,,
2021,Kansas City Chiefs,69,41,59.40%,,,,
2021,Tampa Bay Buccaneers,68,45,66.20%,,,,
2021,Buffalo Bills,77,48,62.30%,,,,
2021,Tennessee Titans,61,39,63.90%,,,,
2021,Philadelphia Eagles,61,38,62.30%,,,,
2021,Los Angeles Chargers,75,48,64.00%,,,,
2021,Arizona Cardinals,65,39,60.00%,,,,
2021,Dallas Cowboys,65,41,63.10%,,,,
2021,Houston Texans,37,19,51.40%,,,,
2021,Miami Dolphins,49,30,61.20%,,,,
2021,Pittsburgh Steelers,50,27,54.00%,,,,
2021,New England Patriots,63,39,61.90%,,,,
2021,Los Angeles Rams,70,42,60.00%,,,,
2021,Green Bay Packers,70,41,58.60%,,,,
2021,Washington Football Team,51,26,51.00%,,,,
2021,Indianapolis Colts,64,36,56.30%,,,,
2021,Carolina Panthers,47,25,53.20%,,,,
2021,New York Giants,38,17,44.70%,,,,
2021,Minnesota Vikings,53,33,62.30%,,,,
2021,Cleveland Browns,50,31,62.00%,,,,
2021,Denver Broncos,53,29,54.70%,,,,
2021,Cincinnati Bengals,52,31,59.60%,,,,
2021,Baltimore Ravens,55,34,61.80%,,,,
2021,Atlanta Falcons,54,29,53.70%,,,,
2021,San Francisco 49ers,54,36,66.70%,,,,
2021,New Orleans Saints,56,33,58.90%,,,,
2021,New York Jets,51,28,54.90%,,,,
2021,Las Vegas Raiders,60,31,51.70%,,,,
2021,Jacksonville Jaguars,39,20,51.30%,,,,
2021,Chicago Bears,48,23,47.90%,,,,
2021,Detroit Lions,45,21,46.70%,,,,
2021,Seattle Seahawks,48,31,64.60%,,,,
